,x,z,IC
319,9,31,5.0
320,10,0,1.0
321,10,1,1.0
322,10,2,1.0
323,10,3,1.0
324,10,4,4.0
325,10,5,4.0
326,10,6,5.0
327,10,7,5.0
328,10,8,5.0
329,10,9,5.0
330,10,10,5.0
331,10,11,5.0
332,10,12,5.0
333,10,13,5.0
334,10,14,5.0
335,10,15,5.0
336,10,16,5.0
337,10,17,5.0
338,10,18,5.0
339,10,19,5.0
340,10,20,5.0
341,10,21,5.0
342,10,22,5.0
343,10,23,5.0
344,10,24,5.0
345,10,25,5.0
346,10,26,5.0
347,10,27,5.0
348,10,28,5.0
349,10,29,5.0
350,10,30,5.0
351,10,31,5.0
352,11,0,1.0
353,11,1,1.0
354,11,2,1.0
355,11,3,1.0
356,11,4,1.0
357,11,5,4.0
358,11,6,5.0
359,11,7,5.0
360,11,8,5.0
361,11,9,5.0
362,11,10,5.0
363,11,11,5.0
364,11,12,5.0
365,11,13,5.0
366,11,14,5.0
367,11,15,5.0
368,11,16,5.0
369,11,17,5.0
370,11,18,5.0
371,11,19,5.0
372,11,20,5.0
373,11,21,5.0
374,11,22,5.0
375,11,23,5.0
376,11,24,5.0
377,11,25,5.0
378,11,26,5.0
379,11,27,5.0
380,11,28,5.0
381,11,29,5.0
382,11,30,5.0
383,11,31,5.0
384,12,0,1.0
385,12,1,1.0
386,12,2,1.0
387,12,3,1.0
388,12,4,1.0
389,12,5,4.0
390,12,6,5.0
391,12,7,5.0
392,12,8,5.0
393,12,9,5.0
394,12,10,5.0
395,12,11,5.0
396,12,12,5.0
397,12,13,5.0
398,12,14,5.0
399,12,15,5.0
400,12,16,5.0
401,12,17,5.0
402,12,18,5.0
403,12,19,5.0
404,12,20,5.0
405,12,21,5.0
406,12,22,5.0
407,12,23,5.0
408,12,24,5.0
409,12,25,5.0
410,12,26,5.0
411,12,27,5.0
412,12,28,5.0
413,12,29,5.0
414,12,30,5.0
415,12,31,5.0
416,13,0,1.0
417,13,1,1.0
418,13,2,1.0
419,13,3,1.0
420,13,4,1.0
421,13,5,4.0
422,13,6,5.0
423,13,7,5.0
424,13,8,5.0
425,13,9,5.0
426,13,10,5.0
427,13,11,5.0
428,13,12,5.0
429,13,13,5.0
430,13,14,5.0
431,13,15,5.0
432,13,16,5.0
433,13,17,5.0
434,13,18,5.0
435,13,19,5.0
436,13,20,5.0
437,13,21,5.0
438,13,22,5.0
439,13,23,5.0
440,13,24,5.0
441,13,25,5.0
442,13,26,5.0
443,13,27,5.0
444,13,28,5.0
445,13,29,5.0
446,13,30,5.0
447,13,31,5.0
448,14,0,1.0
449,14,1,1.0
450,14,2,1.0
451,14,3,1.0
452,14,4,1.0
453,14,5,4.0
454,14,6,5.0
455,14,7,5.0
456,14,8,5.0
457,14,9,5.0
458,14,10,5.0
459,14,11,5.0
460,14,12,5.0
461,14,13,5.0
462,14,14,5.0
463,14,15,5.0
464,14,16,5.0
465,14,17,5.0
466,14,18,5.0
467,14,19,5.0
468,14,20,5.0
469,14,21,5.0
470,14,22,5.0
471,14,23,5.0
472,14,24,5.0
473,14,25,5.0
474,14,26,5.0
475,14,27,5.0
476,14,28,5.0
477,14,29,5.0
478,14,30,5.0
479,14,31,5.0
480,15,0,1.0
481,15,1,1.0
482,15,2,1.0
483,15,3,1.0
484,15,4,1.0
485,15,5,4.0
486,15,6,5.0
487,15,7,5.0
488,15,8,5.0
489,15,9,5.0
490,15,10,5.0
491,15,11,5.0
492,15,12,5.0
493,15,13,5.0
494,15,14,5.0
495,15,15,5.0
496,15,16,5.0
497,15,17,5.0
498,15,18,5.0
499,15,19,5.0
500,15,20,5.0
501,15,21,5.0
502,15,22,5.0
503,15,23,5.0
504,15,24,5.0
505,15,25,5.0
506,15,26,5.0
507,15,27,5.0
508,15,28,5.0
509,15,29,5.0
510,15,30,5.0
511,15,31,5.0
512,16,0,1.0
513,16,1,1.0
514,16,2,1.0
515,16,3,1.0
516,16,4,1.0
517,16,5,4.0
518,16,6,5.0
519,16,7,5.0
520,16,8,5.0
521,16,9,5.0
522,16,10,5.0
523,16,11,5.0
524,16,12,5.0
525,16,13,5.0
526,16,14,5.0
527,16,15,5.0
528,16,16,5.0
529,16,17,5.0
530,16,18,5.0
531,16,19,5.0
532,16,20,5.0
533,16,21,5.0
534,16,22,5.0
535,16,23,5.0
536,16,24,5.0
537,16,25,5.0
538,16,26,5.0
539,16,27,5.0
540,16,28,5.0
541,16,29,5.0
542,16,30,5.0
543,16,31,5.0
544,17,0,1.0
545,17,1,1.0
546,17,2,1.0
547,17,3,1.0
548,17,4,1.0
549,17,5,4.0
550,17,6,5.0
551,17,7,5.0
552,17,8,5.0
553,17,9,5.0
554,17,10,5.0
555,17,11,5.0
556,17,12,5.0
557,17,13,5.0
558,17,14,5.0
559,17,15,5.0
560,17,16,5.0
561,17,17,5.0
562,17,18,5.0
563,17,19,5.0
564,17,20,5.0
565,17,21,5.0
566,17,22,5.0
567,17,23,5.0
568,17,24,5.0
569,17,25,5.0
570,17,26,5.0
571,17,27,5.0
572,17,28,5.0
573,17,29,5.0
574,17,30,5.0
575,17,31,5.0
576,18,0,1.0
577,18,1,1.0
578,18,2,1.0
579,18,3,1.0
580,18,4,1.0
581,18,5,4.0
582,18,6,5.0
583,18,7,5.0
584,18,8,5.0
585,18,9,5.0
586,18,10,5.0
587,18,11,5.0
588,18,12,5.0
589,18,13,5.0
590,18,14,5.0
591,18,15,5.0
592,18,16,5.0
593,18,17,5.0
594,18,18,5.0
595,18,19,5.0
596,18,20,5.0
597,18,21,5.0
598,18,22,5.0
599,18,23,5.0
600,18,24,5.0
601,18,25,5.0
602,18,26,5.0
603,18,27,5.0
604,18,28,5.0
605,18,29,5.0
606,18,30,5.0
607,18,31,5.0
608,19,0,1.0
609,19,1,1.0
610,19,2,1.0
611,19,3,1.0
612,19,4,1.0
613,19,5,4.0
614,19,6,5.0
615,19,7,5.0
616,19,8,5.0
617,19,9,5.0
618,19,10,5.0
619,19,11,5.0
620,19,12,5.0
621,19,13,5.0
622,19,14,5.0
623,19,15,5.0
624,19,16,5.0
625,19,17,5.0
626,19,18,5.0
627,19,19,5.0
628,19,20,5.0
629,19,21,5.0
630,19,22,5.0
631,19,23,5.0
632,19,24,5.0
633,19,25,5.0
634,19,26,5.0
635,19,27,5.0
636,19,28,5.0
637,19,29,5.0
638,19,30,5.0
639,19,31,5.0
640,20,0,1.0
641,20,1,1.0
642,20,2,1.0
643,20,3,1.0
644,20,4,1.0
645,20,5,4.0
646,20,6,5.0
647,20,7,5.0
648,20,8,5.0
649,20,9,5.0
650,20,10,5.0
651,20,11,5.0
652,20,12,5.0
653,20,13,5.0
654,20,14,5.0
655,20,15,5.0
656,20,16,5.0
657,20,17,5.0
658,20,18,5.0
659,20,19,5.0
660,20,20,5.0
661,20,21,5.0
662,20,22,5.0
663,20,23,5.0
664,20,24,5.0
665,20,25,5.0
666,20,26,5.0
667,20,27,5.0
668,20,28,5.0
669,20,29,5.0
670,20,30,5.0
671,20,31,5.0
672,21,0,1.0
673,21,1,1.0
674,21,2,1.0
675,21,3,1.0
676,21,4,1.0
677,21,5,4.0
678,21,6,5.0
679,21,7,5.0
680,21,8,5.0
681,21,9,5.0
682,21,10,5.0
683,21,11,5.0
684,21,12,5.0
685,21,13,5.0
686,21,14,5.0
687,21,15,5.0
688,21,16,5.0
689,21,17,5.0
690,21,18,5.0
691,21,19,5.0
692,21,20,5.0
693,21,21,5.0
694,21,22,5.0
695,21,23,5.0
696,21,24,5.0
697,21,25,5.0
698,21,26,5.0
699,21,27,5.0
700,21,28,5.0
701,21,29,5.0
702,21,30,5.0
703,21,31,5.0
704,22,0,1.0
705,22,1,1.0
706,22,2,1.0
707,22,3,1.0
708,22,4,1.0
709,22,5,4.0
710,22,6,5.0
711,22,7,5.0
712,22,8,5.0
713,22,9,5.0
714,22,10,5.0
715,22,11,5.0
716,22,12,5.0
717,22,13,5.0
718,22,14,5.0
719,22,15,5.0
720,22,16,5.0
721,22,17,5.0
722,22,18,5.0
723,22,19,5.0
724,22,20,5.0
725,22,21,5.0
726,22,22,5.0
727,22,23,5.0
728,22,24,5.0
729,22,25,5.0
730,22,26,5.0
731,22,27,5.0
732,22,28,5.0
733,22,29,5.0
734,22,30,5.0
735,22,31,5.0
736,23,0,1.0
737,23,1,1.0
738,23,2,1.0
739,23,3,1.0
740,23,4,1.0
741,23,5,4.0
742,23,6,4.0
743,23,7,5.0
744,23,8,5.0
745,23,9,5.0
746,23,10,5.0
747,23,11,5.0
748,23,12,5.0
749,23,13,5.0
750,23,14,5.0
751,23,15,5.0
752,23,16,5.0
753,23,17,5.0
754,23,18,5.0
755,23,19,5.0
756,23,20,5.0
757,23,21,5.0
758,23,22,5.0
759,23,23,5.0
760,23,24,5.0
761,23,25,5.0
762,23,26,5.0
763,23,27,5.0
764,23,28,5.0
765,23,29,5.0
766,23,30,5.0
767,23,31,5.0
768,24,0,1.0
769,24,1,1.0
770,24,2,1.0
771,24,3,1.0
772,24,4,1.0
773,24,5,4.0
774,24,6,4.0
775,24,7,5.0
776,24,8,5.0
777,24,9,5.0
778,24,10,5.0
779,24,11,5.0
780,24,12,5.0
781,24,13,5.0
782,24,14,5.0
783,24,15,5.0
784,24,16,5.0
785,24,17,5.0
786,24,18,5.0
787,24,19,5.0
788,24,20,5.0
789,24,21,5.0
790,24,22,5.0
791,24,23,5.0
792,24,24,5.0
793,24,25,5.0
794,24,26,5.0
795,24,27,5.0
796,24,28,5.0
797,24,29,5.0
798,24,30,5.0
799,24,31,5.0
800,25,0,1.0
801,25,1,1.0
802,25,2,1.0
803,25,3,1.0
804,25,4,1.0
805,25,5,4.0
806,25,6,4.0
807,25,7,5.0
808,25,8,5.0
809,25,9,5.0
810,25,10,5.0
811,25,11,5.0
812,25,12,5.0
813,25,13,5.0
814,25,14,5.0
815,25,15,5.0
816,25,16,5.0
817,25,17,5.0
818,25,18,5.0
819,25,19,5.0
820,25,20,5.0
821,25,21,5.0
822,25,22,5.0
823,25,23,5.0
824,25,24,5.0
825,25,25,5.0
826,25,26,5.0
827,25,27,5.0
828,25,28,5.0
829,25,29,5.0
830,25,30,5.0
831,25,31,5.0
832,26,0,1.0
833,26,1,1.0
834,26,2,1.0
835,26,3,1.0
836,26,4,1.0
837,26,5,4.0
838,26,6,4.0
839,26,7,5.0
840,26,8,5.0
841,26,9,5.0
842,26,10,5.0
843,26,11,5.0
844,26,12,5.0
845,26,13,5.0
846,26,14,5.0
847,26,15,5.0
848,26,16,5.0
849,26,17,5.0
850,26,18,5.0
851,26,19,5.0
852,26,20,5.0
853,26,21,5.0
854,26,22,5.0
855,26,23,5.0
856,26,24,5.0
857,26,25,5.0
858,26,26,5.0
859,26,27,5.0
860,26,28,5.0
861,26,29,5.0
862,26,30,5.0
863,26,31,5.0
864,27,0,1.0
865,27,1,1.0
866,27,2,1.0
867,27,3,1.0
868,27,4,1.0
869,27,5,4.0
870,27,6,4.0
871,27,7,5.0
872,27,8,5.0
873,27,9,5.0
874,27,10,5.0
875,27,11,5.0
876,27,12,5.0
877,27,13,5.0
878,27,14,5.0
879,27,15,5.0
880,27,16,5.0
881,27,17,5.0
882,27,18,5.0
883,27,19,5.0
884,27,20,5.0
885,27,21,5.0
886,27,22,5.0
887,27,23,5.0
888,27,24,5.0
889,27,25,5.0
890,27,26,5.0
891,27,27,5.0
892,27,28,5.0
893,27,29,5.0
894,27,30,5.0
895,27,31,5.0
896,28,0,1.0
897,28,1,1.0
898,28,2,1.0
899,28,3,1.0
900,28,4,1.0
901,28,5,4.0
902,28,6,4.0
903,28,7,5.0
904,28,8,5.0
905,28,9,5.0
906,28,10,5.0
907,28,11,5.0
908,28,12,5.0
909,28,13,5.0
910,28,14,5.0
911,28,15,5.0
912,28,16,5.0
913,28,17,5.0
914,28,18,5.0
915,28,19,5.0
916,28,20,5.0
917,28,21,5.0
918,28,22,5.0
919,28,23,5.0
920,28,24,5.0
921,28,25,5.0
922,28,26,5.0
923,28,27,5.0
924,28,28,5.0
925,28,29,5.0
926,28,30,5.0
927,28,31,5.0
928,29,0,1.0
929,29,1,1.0
930,29,2,1.0
931,29,3,1.0
932,29,4,1.0
933,29,5,4.0
934,29,6,4.0
935,29,7,5.0
936,29,8,5.0
937,29,9,5.0
938,29,10,5.0
939,29,11,5.0
940,29,12,5.0
941,29,13,5.0
942,29,14,5.0
943,29,15,5.0
944,29,16,5.0
945,29,17,5.0
946,29,18,5.0
947,29,19,5.0
948,29,20,5.0
949,29,21,5.0
950,29,22,5.0
951,29,23,5.0
952,29,24,5.0
953,29,25,5.0
954,29,26,5.0
955,29,27,5.0
956,29,28,5.0
957,29,29,5.0
958,29,30,5.0
959,29,31,5.0
960,30,0,1.0
961,30,1,1.0
962,30,2,1.0
963,30,3,1.0
964,30,4,1.0
965,30,5,4.0
966,30,6,4.0
967,30,7,5.0
968,30,8,5.0
969,30,9,5.0
970,30,10,5.0
971,30,11,5.0
972,30,12,5.0
973,30,13,5.0
974,30,14,5.0
975,30,15,5.0
976,30,16,5.0
977,30,17,5.0
978,30,18,5.0
979,30,19,5.0
980,30,20,5.0
981,30,21,5.0
982,30,22,5.0
